"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Ptgds",6,0.230472881099864,0.435376805935182,0.126267281105991,0.274794739519,"up-regulated","up-regulated"
"Rpl12",6,2.71355189605681,3.72758037225042,2.20843672456576,2.65349124464143,"up-regulated","up-regulated"
"Rpl17",6,2.75109533162109,3.41832617467135,2.26139666784828,2.47271670420693,"up-regulated","up-regulated"
"Rpl22l1",6,0.471974618522435,0.699466354288689,0.440127614321163,0.424180774540435,"up-regulated","up-regulated"
"Rpl23",6,5.10318779271793,6.44513861772745,3.9919177596597,4.58679067063867,"up-regulated","up-regulated"
"Rpl32",6,3.99221936848467,5.27866718729663,3.24374335342077,3.52793722298917,"up-regulated","up-regulated"
"Rpl36",6,2.00120864178879,2.61694650527138,1.77617866004963,1.85097725786529,"up-regulated","up-regulated"
"Rps11",6,4.36750264390391,4.99193023558506,3.74874158099965,3.84233088716123,"up-regulated","up-regulated"
"Rps20",6,3.44417585738027,4.28569569178706,2.81963842609004,3.1954515730582,"up-regulated","up-regulated"
"Rps28",6,2.31855265145792,2.7033710790056,2.07486706841546,1.90954007120541,"up-regulated","up-regulated"
"Rps7",6,1.57818401571234,1.91409605622804,1.2088621056363,1.35936932354864,"up-regulated","up-regulated"
"S100a9",6,0.931711738933374,0.327736561239099,1.48138957816377,0.98045484269418,"down-regulated","down-regulated"
"Selenop",6,3.0352016920985,2.95314330339711,2.63388869195321,3.81675506793577,"down-regulated","notAll"
"Sparc",6,7.45837739839855,5.26291813093844,7.28798298475718,6.76444089224733,"down-regulated","down-regulated"
"Tmem119",6,3.52100015108022,2.80671612651308,3.96419709322935,3.59856136016857,"down-regulated","down-regulated"
"Basp1",5,2.10424535428312,1.74150722374073,1.88032612548742,2.32616435370195,"down-regulated","down-regulated"
"Bin1",5,1.56843934129023,1.24886112195757,1.34937965260546,1.67245513332849,"down-regulated","down-regulated"
"Col27a1",5,0.319987913582112,0.245737342184043,0.36944345976604,0.392719610550025,"down-regulated","down-regulated"
"Ctsl",5,3.43420456262275,4.38760900689835,2.37171215880893,3.28206059725351,"up-regulated","up-regulated"
"Cyth4",5,1.30012086417888,1.00598724456592,1.11308046791918,1.28438567172855,"down-regulated","down-regulated"
"Egr1",5,1.71506269829279,2.29780033840948,2.00163062743708,3.24522269853956,"down-regulated","notAll"
"Fam102b",5,0.345444931258498,0.41858648965248,0.216448068060971,0.657342149240718,"down-regulated","notAll"
"Fth1",5,13.3841970086116,16.9686320447742,11.0731655441333,12.6287873283441,"up-regulated","up-regulated"
"Hspb1",5,1.85488744523342,2.23948978263699,2.10400567174761,3.00363292886725,"down-regulated","notAll"
"Lag3",5,0.961474542982324,0.815176363399714,0.565189649060617,1.02484923345201,"down-regulated","notAll"
